label,text
2,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 ."
1,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team ."
2,These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .
2,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group ."
1,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said ."
1,"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said ."
1,"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 ."
1,"The Daily Graphic newspaper , in October , reported an initiative being embarked upon by the Fidelity Bank to partner Ghana Post , which has offices across the country , to offer financial services to the unbanked and under-banked in the country ."
1,"Thus the group 's balance sheet will have about EUR25 .8 m in goodwill for 2010 , the company added ."
1,"In 2007 , Alma Media 's operating profit was about EUR 53mn ."
2,"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said ."
1,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics ."
2,"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks ."
1,Finnish Bank of +_land will launch its long-term pension savings account at the beginning of June 2010 .
1,"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth ."
1,Net sales in 2007 totalled EUR 329 million and the operating margin was over 19 % .
2,"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 ."
1,Delivery will start immediately in June 2008 and will be completed in 2008 .
1,The serial bond is part of the plan to refinance the short-term credit facility .
1,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .
2,"The production capacity can be tripled without any major additional investments , the company said ."
1,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company ."
1,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources ."
1,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 ."
0,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .
2,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers ."
1,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas ."
1,Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands .
2,"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line ."
1,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn ."
1,"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday ."
2,"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy ."
1,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn ."
0,55 workers in +_m+_l will be affected by the close-down .
2,The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .
1,"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+Ænnen Tehtaat 's other businesses ."
1,Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .
1,The company said that it has agreed to a EUR160m unsecured credit line from lenders .
0,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .
0,"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn ."
2,"`` Following last year 's good profit development , we have entered the current year in a good position ."
1,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein ."
1,Radiation and today is a full service house expert in radiation and nuclear safety issues .
1,Closing of such transaction took place today .
2,"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said ."
1,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share ."
0,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report ."
1,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE ."
0,Talentum 's net sales in September were smaller than expected .
2,The executive group will participate in the adjustments with a fixed-term 5 % salary cut .
1,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 ."
1,Being successful requires providing a level of quality that satisfies our customers and partners .
1,Completion of the transaction is subject to a final agreement and a Due Diligence process .
2,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln ."
1,` Nordic infrastructure construction is one of our strategic growth areas .
2,"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month ."
2,"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea ."
1,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia ."
1,A spokeswoman for the Italian fashion house declined comment on the settlement .
1,Nordic Walking was first used as a summer training method by cross-country skiers .
1,"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) ."
2,Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria .
2,"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 ."
0,"- Demand for fireplace products was lower than expected , especially in Germany ."
1,Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .
1,The order was valued at USD12 .2 m.
2,"Upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a D-pad -- an upgrade click-happy S60 has needed forever ."
1,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .
1,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .
1,It has80 branches in Finland with annual revenue in Finland of ?
1,Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .
1,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .
2,"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network ."
1,Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .
1,The transaction value is CAD 15 million approximately EUR 10 million .
1,"The final price will be specified by 14 May 2010 , the acquiring company said ."
0,"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said ."
1,Raisio is the site of the main production plants as well as company headquarters .
0,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .
1,The site will cover over six hectares .
2,Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .
1,It is expected to be online by 2011 .
2,7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .
1,"Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics ."
0,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ."
2,"Via the agreement , Ramirent will expand the range of equipment and services it delivers to Destia , Ramirent Finland 's managing director Kari Aulasmaa , said ."
1,Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .
1,"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally ."
1,"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level ."
1,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .
2,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service ."
2,The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .
1,"Currently Glaston employs approximately 1,500 persons ."
1,Other potential clients include public administration organizations investing in utility networks and services .
1,- Counter your competitor 's strengths and target their weaknesses .
0,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ."
0,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .
2,"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy ."
2,Unit costs for flight operations fell by 6.4 percent .
0,"In Sweden , there is an oversupply of pharmacies ."
2,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1"
1,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business ."
1,YIT Kausta will build commercial and residential highrises in Virsuliskes area .
1,The emerging markets that Raisio has chosen to enter so far are marked by relatively low per capita food consumption .
1,"Sami Sepp+Ænen , CEO for Elisa Eesti , says the novel network allows fast mobile broadband for sparsely populated areas ."
1,"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles ."
2,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales ."
2,"Also , it is bringing in `` the right kind of people '' to upgrade its human resources ."
1,Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .
1,"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained ."
