text,label
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",0
The goal is to secure the company 's profitability and competitiveness .,1
"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .",1
$FB watching for bounce tomorrow,2
That would be an increase from estimated sales of 117 million last year .,2
The medium-term operative targets of the company remain unchanged .,1
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",1
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",2
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",2
"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",1
"Tecnomen 's system features a new range of value-added services for prepaid and post-paid billing , charging and rating of voice calls , data traffic , or any kind of content services in both mobile and fixed networks .",1
"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",2
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",0
"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing .",1
"Finnish property investment company Citycon will expand and refurbish +Ã kersberga shopping center in Stockholm , in Sweden .",1
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,1
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",1
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",1
"According shipping company Viking Line , the EU decision will have a significant financial impact .",1
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",1
Spain's Caixabank launches new takeover bid for Banco BPI,2
The acquisition of Boomeranger Boats Oy is in line with the Done Solutions strategy of developing its business through company acquisitions .,2
"The total headcount reduction will be 50 persons , the company said .",1
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,0
$IACI http://stks.co/tJU Looks good on the weekly chart.,2
Shell share price: Standard Life announce position against BG acquisition,0
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",1
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,1
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,0
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Ã Lemmink+Ã±inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,1
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",1
"On preliminary estimate , the hotel will operate under the brand Novotel .",1
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",0
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .,2
"European stocks hover near 3-week low, Dialog and BHP slump",0
"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",2
$BAC $ADSK $NFLX long this morning,2
The financial details of the acquisition were not disclosed .,1
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,2
"The contract comprises a log handling line , a peeling line , and a veneer drying and grading line .",1
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",2
Finnish Bank of +Ã land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,0
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",1
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",1
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",0
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",1
